tenor,spotRate
1.0,0.0377
1.5,0.0373
2.0,0.0370
2.5,0.0371
3.0,0.0373
3.5,0.0376
4.0,0.0380
4.5,0.0385
5.0,0.0391
5.5,0.0398
6.0,0.0404
6.5,0.0411
7.0,0.0418
7.5,0.0425
8.0,0.0432
8.5,0.0438
9.0,0.0445
9.5,0.0451
10.0,0.0457
10.5,0.0463
11.0,0.0469
11.5,0.0474
12.0,0.0480
12.5,0.0485
13.0,0.0490
13.5,0.0494
14.0,0.0499
14.5,0.0503
15.0,0.0507
15.5,0.0510
16.0,0.0514
16.5,0.0517
17.0,0.0520
17.5,0.0523
18.0,0.0526
18.5,0.0528
19.0,0.0531
19.5,0.0533
20.0,0.0535
20.5,0.0537
21.0,0.0538
21.5,0.0540
22.0,0.0541
22.5,0.0542
23.0,0.0543
23.5,0.0544
24.0,0.0545
24.5,0.0545
25.0,0.0546
25.5,0.0547
26.0,0.0547
26.5,0.0547
27.0,0.0547
27.5,0.0547
28.0,0.0547
28.5,0.0547
29.0,0.0547
29.5,0.0547
30.0,0.0546
30.5,0.0546
31.0,0.0545
31.5,0.0544
32.0,0.0543
32.5,0.0542
33.0,0.0541
33.5,0.0540
34.0,0.0539
34.5,0.0538
35.0,0.0536
35.5,0.0535
36.0,0.0533
36.5,0.0531
37.0,0.0530
37.5,0.0528
38.0,0.0526
38.5,0.0524
39.0,0.0522
39.5,0.0519
40.0,0.0517
